PATENT_NO		TIME TO WRITE		WORDS ADDED BY FILE
Pat/2015/08931742 --- 536.1131976564725 minutes --- 360 new words added
Pat/2015/08931743 --- 1072.2465546329815 minutes --- 426 new words added
Pat/2015/08931744 --- 1608.3817252675692 minutes --- 135 new words added
Pat/2015/08931745 --- 2144.5192714174586 minutes --- 160 new words added
Pat/2015/08931746 --- 2680.6634664297103 minutes --- 411 new words added
Pat/2015/08931747 --- 3216.8098876635236 minutes --- 105 new words added
Pat/2015/08931748 --- 3752.9711539228756 minutes --- 548 new words added
Pat/2015/08931749 --- 4289.137359948953 minutes --- 133 new words added
Pat/2015/08931750 --- 4825.311115046342 minutes --- 189 new words added
Pat/2015/08931751 --- 5361.506173555056 minutes --- 444 new words added
Pat/2015/08931752 --- 5897.723383879662 minutes --- 357 new words added
Pat/2015/08931753 --- 6433.969909807046 minutes --- 171 new words added
Pat/2015/08931754 --- 6970.225669606527 minutes --- 121 new words added
Pat/2015/08931755 --- 7506.513342281182 minutes --- 375 new words added
Pat/2015/08931756 --- 8042.811023124059 minutes --- 98 new words added
Pat/2015/08931757 --- 8579.11055920124 minutes --- 15 new words added
Pat/2015/08931758 --- 9115.422221958637 minutes --- 110 new words added
Pat/2015/08931759 --- 9651.73881702423 minutes --- 41 new words added
Pat/2015/08931760 --- 10188.062307854494 minutes --- 55 new words added
Pat/2015/08931761 --- 10724.39511904319 minutes --- 71 new words added
Pat/2015/08931762 --- 11260.745999574661 minutes --- 130 new words added
Pat/2015/08931763 --- 11797.14421604077 minutes --- 171 new words added
Pat/2015/08931764 --- 12333.552071853479 minutes --- 60 new words added
Pat/2015/08931765 --- 12869.974999439717 minutes --- 90 new words added
Pat/2015/08931766 --- 13406.409332501888 minutes --- 64 new words added
Pat/2015/08931767 --- 13942.849374473095 minutes --- 30 new words added
Pat/2015/08931768 --- 14479.301058832805 minutes --- 60 new words added
Pat/2015/08931769 --- 15015.801528251171 minutes --- 239 new words added
Pat/2015/08931770 --- 15552.31335617304 minutes --- 52 new words added
Pat/2015/08931771 --- 16088.837700736523 minutes --- 55 new words added
Pat/2015/08931772 --- 16625.37742064794 minutes --- 65 new words added
Pat/2015/08931773 --- 17161.975323383012 minutes --- 161 new words added
Pat/2015/08931774 --- 17698.614144583542 minutes --- 155 new words added
Pat/2015/08931775 --- 18235.27810829878 minutes --- 88 new words added
Pat/2015/08931776 --- 18771.957777468364 minutes --- 55 new words added
Pat/2015/08931777 --- 19308.668508255483 minutes --- 101 new words added
Pat/2015/08931778 --- 19845.447047881284 minutes --- 217 new words added
Pat/2015/08931779 --- 20382.356451022624 minutes --- 382 new words added
Pat/2015/08931780 --- 20919.365844607353 minutes --- 271 new words added
Pat/2015/08931781 --- 21456.466120409965 minutes --- 234 new words added
Pat/2015/08931782 --- 21993.58926368157 minutes --- 57 new words added
Pat/2015/08931783 --- 22530.747823937734 minutes --- 43 new words added
Pat/2015/08931784 --- 23067.92830605507 minutes --- 51 new words added
Pat/2015/08931785 --- 23605.14138826132 minutes --- 75 new words added
Pat/2015/08931786 --- 24142.383891805013 minutes --- 65 new words added
Pat/2015/08931787 --- 24679.656755463282 minutes --- 65 new words added
Pat/2015/08931788 --- 25216.985956072807 minutes --- 114 new words added
Pat/2015/08931789 --- 25754.34720317125 minutes --- 63 new words added
Pat/2015/08931790 --- 26291.737676302593 minutes --- 56 new words added
Pat/2015/08931791 --- 26829.1554730773 minutes --- 51 new words added
Pat/2015/08931792 --- 27366.60216370821 minutes --- 51 new words added
Pat/2015/08931793 --- 27904.091545939445 minutes --- 44 new words added
Pat/2015/08931794 --- 28441.611602584522 minutes --- 52 new words added
Pat/2015/08931795 --- 28979.14969882965 minutes --- 30 new words added
Pat/2015/08931796 --- 29516.773549354075 minutes --- 141 new words added
Pat/2015/08931797 --- 30054.418978540103 minutes --- 34 new words added
Pat/2015/08931798 --- 30592.099343578022 minutes --- 55 new words added
Pat/2015/08931799 --- 31129.802915589014 minutes --- 35 new words added
Pat/2015/08931800 --- 31667.54163878759 minutes --- 53 new words added
Pat/2015/08931801 --- 32205.30302017927 minutes --- 31 new words added
