PATENT_NO		TIME TO WRITE		WORDS ADDED BY FILE
Pat/2015/08928731 --- 317.2063802202543 minutes --- 560 new words added
Pat/2015/08928732 --- 634.4333785971006 minutes --- 437 new words added
Pat/2015/08928733 --- 951.6649267236392 minutes --- 381 new words added
Pat/2015/08928734 --- 1268.9019886215528 minutes --- 319 new words added
Pat/2015/08928735 --- 1586.1564493099847 minutes --- 712 new words added
Pat/2015/08928736 --- 1903.4239949822427 minutes --- 352 new words added
Pat/2015/08928737 --- 2220.7012563665708 minutes --- 227 new words added
Pat/2015/08928738 --- 2537.9866184512775 minutes --- 166 new words added
Pat/2015/08928739 --- 2855.280559190114 minutes --- 147 new words added
Pat/2015/08928740 --- 3172.581940325101 minutes --- 117 new words added
Pat/2015/08928741 --- 3489.8918539683023 minutes --- 126 new words added
Pat/2015/08928742 --- 3807.2239394426347 minutes --- 63 new words added
Pat/2015/08928743 --- 4124.563743829727 minutes --- 84 new words added
Pat/2015/08928744 --- 4441.918681192398 minutes --- 172 new words added
Pat/2015/08928745 --- 4759.287676036358 minutes --- 147 new words added
Pat/2015/08928746 --- 5076.683036478361 minutes --- 251 new words added
Pat/2015/08928747 --- 5394.138157486916 minutes --- 475 new words added
Pat/2015/08928748 --- 5711.601290047169 minutes --- 59 new words added
Pat/2015/08928749 --- 6029.0781684756275 minutes --- 97 new words added
Pat/2015/08928750 --- 6346.573360578219 minutes --- 117 new words added
Pat/2015/08928751 --- 6664.093888918559 minutes --- 152 new words added
Pat/2015/08928752 --- 6981.657413860162 minutes --- 149 new words added
Pat/2015/08928753 --- 7299.241729017099 minutes --- 114 new words added
Pat/2015/08928754 --- 7616.833048721154 minutes --- 32 new words added
Pat/2015/08928755 --- 7934.447865327199 minutes --- 117 new words added
Pat/2015/08928756 --- 8252.1194981575 minutes --- 267 new words added
Pat/2015/08928757 --- 8569.80435501337 minutes --- 54 new words added
Pat/2015/08928758 --- 8887.513707447051 minutes --- 103 new words added
Pat/2015/08928759 --- 9205.255868955453 minutes --- 130 new words added
Pat/2015/08928760 --- 9523.068131836255 minutes --- 258 new words added
Pat/2015/08928761 --- 9840.926042131583 minutes --- 159 new words added
Pat/2015/08928762 --- 10158.821618739765 minutes --- 67 new words added
Pat/2015/08928763 --- 10476.77170184056 minutes --- 175 new words added
Pat/2015/08928764 --- 10794.740268015861 minutes --- 56 new words added
Pat/2015/08928765 --- 11112.73300630649 minutes --- 71 new words added
Pat/2015/08928766 --- 11430.76659373045 minutes --- 113 new words added
Pat/2015/08928767 --- 11748.808249763648 minutes --- 21 new words added
Pat/2015/08928768 --- 12066.867308819294 minutes --- 46 new words added
Pat/2015/08928769 --- 12384.98471378088 minutes --- 151 new words added
Pat/2015/08928770 --- 12703.116872314613 minutes --- 36 new words added
Pat/2015/08928771 --- 13021.27959100008 minutes --- 74 new words added
Pat/2015/08928772 --- 13339.555262263615 minutes --- 224 new words added
Pat/2015/08928773 --- 13657.909755337238 minutes --- 172 new words added
Pat/2015/08928774 --- 13976.308505642413 minutes --- 91 new words added
Pat/2015/08928775 --- 14294.74441062212 minutes --- 74 new words added
Pat/2015/08928776 --- 14613.222577627499 minutes --- 82 new words added
Pat/2015/08928777 --- 14931.72748969396 minutes --- 50 new words added
Pat/2015/08928778 --- 15250.248495276768 minutes --- 29 new words added
Pat/2015/08928779 --- 15568.8044759353 minutes --- 63 new words added
Pat/2015/08928780 --- 15887.38517386516 minutes --- 43 new words added
Pat/2015/08928781 --- 16206.034346636136 minutes --- 118 new words added
Pat/2015/08928782 --- 16524.769449424744 minutes --- 114 new words added
Pat/2015/08928783 --- 16843.575683991116 minutes --- 115 new words added
Pat/2015/08928784 --- 17162.49482288758 minutes --- 176 new words added
Pat/2015/08928785 --- 17481.43390587568 minutes --- 29 new words added
Pat/2015/08928786 --- 17800.405190316837 minutes --- 47 new words added
Pat/2015/08928787 --- 18119.405170647304 minutes --- 41 new words added
Pat/2015/08928788 --- 18438.436936720213 minutes --- 44 new words added
Pat/2015/08928789 --- 18757.519329110783 minutes --- 70 new words added
Pat/2015/08928790 --- 19076.624384911855 minutes --- 30 new words added
Pat/2015/08928791 --- 19395.748101929825 minutes --- 24 new words added
Pat/2015/08928792 --- 19714.945099588236 minutes --- 67 new words added
