PATENT_NO		TIME TO WRITE		WORDS ADDED BY FILE
Pat/2015/08927523 --- 130.8905831774076 minutes --- 712 new words added
Pat/2015/08927524 --- 261.8049894889196 minutes --- 715 new words added
Pat/2015/08927525 --- 392.7554693102837 minutes --- 1705 new words added
Pat/2015/08927526 --- 523.7425264795621 minutes --- 955 new words added
Pat/2015/08927527 --- 654.7641971667607 minutes --- 677 new words added
Pat/2015/08927528 --- 785.8206613779068 minutes --- 527 new words added
Pat/2015/08927529 --- 916.905124481519 minutes --- 365 new words added
Pat/2015/08927530 --- 1048.010196884473 minutes --- 234 new words added
Pat/2015/08927531 --- 1179.163148466746 minutes --- 469 new words added
Pat/2015/08927532 --- 1310.3448463479679 minutes --- 249 new words added
Pat/2015/08927533 --- 1441.5886930386225 minutes --- 470 new words added
Pat/2015/08927534 --- 1573.196643058459 minutes --- 2065 new words added
Pat/2015/08927535 --- 1704.9028838594754 minutes --- 473 new words added
Pat/2015/08927536 --- 1836.7106435457865 minutes --- 433 new words added
Pat/2015/08927537 --- 1968.5715961416563 minutes --- 209 new words added
Pat/2015/08927538 --- 2100.473679490884 minutes --- 149 new words added
Pat/2015/08927539 --- 2232.5360669414204 minutes --- 548 new words added
Pat/2015/08927540 --- 2364.806101191044 minutes --- 645 new words added
Pat/2015/08927541 --- 2497.1623930772143 minutes --- 246 new words added
Pat/2015/08927542 --- 2629.538617781798 minutes --- 52 new words added
Pat/2015/08927543 --- 2762.1967460831006 minutes --- 715 new words added
Pat/2015/08927544 --- 2894.9838034470877 minutes --- 260 new words added
Pat/2015/08927545 --- 3027.9869174400965 minutes --- 477 new words added
Pat/2015/08927546 --- 3161.3536240935327 minutes --- 736 new words added
Pat/2015/08927547 --- 3294.8431616187095 minutes --- 227 new words added
Pat/2015/08927548 --- 3429.765456223488 minutes --- 2356 new words added
Pat/2015/08927549 --- 3564.9759913961093 minutes --- 423 new words added
Pat/2015/08927550 --- 3700.3130841493607 minutes --- 175 new words added
Pat/2015/08927551 --- 3836.421646463871 minutes --- 1014 new words added
Pat/2015/08927552 --- 3972.6257182677587 minutes --- 116 new words added
Pat/2015/08927553 --- 4109.216470034918 minutes --- 458 new words added
Pat/2015/08927554 --- 4246.16680782636 minutes --- 387 new words added
Pat/2015/08927555 --- 4383.383607093493 minutes --- 287 new words added
Pat/2015/08927556 --- 4520.904711325963 minutes --- 316 new words added
Pat/2015/08927557 --- 4659.019547919433 minutes --- 587 new words added
Pat/2015/08927558 --- 4797.1829035282135 minutes --- 45 new words added
Pat/2015/08927559 --- 4935.8337792078655 minutes --- 446 new words added
Pat/2015/08927560 --- 5074.564380848407 minutes --- 69 new words added
Pat/2015/08927561 --- 5214.0399624705315 minutes --- 633 new words added
Pat/2015/08927562 --- 5354.281535792351 minutes --- 624 new words added
Pat/2015/08927563 --- 5495.218621091048 minutes --- 539 new words added
Pat/2015/08927564 --- 5636.5225468238195 minutes --- 260 new words added
Pat/2015/08927565 --- 5778.045669809977 minutes --- 158 new words added
Pat/2015/08927566 --- 5919.740121078491 minutes --- 120 new words added
Pat/2015/08927567 --- 6061.827751990159 minutes --- 269 new words added
Pat/2015/08927568 --- 6204.107070569197 minutes --- 127 new words added
Pat/2015/08927569 --- 6346.620347634951 minutes --- 151 new words added
Pat/2015/08927570 --- 6489.240929782391 minutes --- 67 new words added
Pat/2015/08927571 --- 6632.605363253752 minutes --- 459 new words added
Pat/2015/08927572 --- 6776.110026331743 minutes --- 83 new words added
Pat/2015/08927573 --- 6919.968046677112 minutes --- 206 new words added
Pat/2015/08927574 --- 7065.373005263011 minutes --- 862 new words added
Pat/2015/08927575 --- 7211.139279516538 minutes --- 194 new words added
Pat/2015/08927576 --- 7357.4967691620195 minutes --- 310 new words added
Pat/2015/08927577 --- 7504.3945623834925 minutes --- 275 new words added
Pat/2015/08927578 --- 7652.641956400871 minutes --- 666 new words added
Pat/2015/08927579 --- 7802.143463738759 minutes --- 594 new words added
Pat/2015/08927580 --- 7952.03526725769 minutes --- 178 new words added
Pat/2015/08927581 --- 8103.710709337393 minutes --- 797 new words added
Pat/2015/08927582 --- 8256.328198285897 minutes --- 403 new words added
Pat/2015/08927583 --- 8410.861470882099 minutes --- 794 new words added
Pat/2015/08927584 --- 8565.804813007513 minutes --- 157 new words added
Pat/2015/08927585 --- 8721.247463516394 minutes --- 196 new words added
Pat/2015/08927586 --- 8877.665153431892 minutes --- 372 new words added
Pat/2015/08927587 --- 9035.583506500721 minutes --- 559 new words added
Pat/2015/08927588 --- 9194.330732591947 minutes --- 299 new words added
Pat/2015/08927589 --- 9353.485604858399 minutes --- 144 new words added
Pat/2015/08927590 --- 9513.164289732775 minutes --- 181 new words added
Pat/2015/08927591 --- 9673.609146511555 minutes --- 261 new words added
Pat/2015/08927592 --- 9834.387986652056 minutes --- 110 new words added
Pat/2015/08927593 --- 9995.85512963136 minutes --- 225 new words added
Pat/2015/08927594 --- 10157.703575829664 minutes --- 117 new words added
Pat/2015/08927595 --- 10320.347253171603 minutes --- 250 new words added
Pat/2015/08927596 --- 10483.309000857671 minutes --- 98 new words added
Pat/2015/08927597 --- 10646.604713881015 minutes --- 101 new words added
Pat/2015/08927598 --- 10810.183054216703 minutes --- 82 new words added
Pat/2015/08927599 --- 10974.119376544159 minutes --- 102 new words added
Pat/2015/08927600 --- 11138.38362298409 minutes --- 92 new words added
Pat/2015/08927601 --- 11303.051216026148 minutes --- 112 new words added
Pat/2015/08927602 --- 11468.340108005206 minutes --- 171 new words added
Pat/2015/08927603 --- 11634.489571766058 minutes --- 235 new words added
Pat/2015/08927604 --- 11801.027089182537 minutes --- 99 new words added
Pat/2015/08927605 --- 11971.9202840209 minutes --- 1150 new words added
Pat/2015/08927606 --- 12142.969516722362 minutes --- 39 new words added
Pat/2015/08927607 --- 12314.695164088409 minutes --- 171 new words added
Pat/2015/08927608 --- 12487.292259705067 minutes --- 216 new words added
Pat/2015/08927609 --- 12660.679344741504 minutes --- 192 new words added
Pat/2015/08927610 --- 12834.434723563989 minutes --- 88 new words added
Pat/2015/08927611 --- 13008.42123720646 minutes --- 54 new words added
Pat/2015/08927612 --- 13182.875614070892 minutes --- 110 new words added
Pat/2015/08927613 --- 13357.955349568527 minutes --- 144 new words added
Pat/2015/08927614 --- 13533.532300055027 minutes --- 109 new words added
Pat/2015/08927615 --- 13714.115855228902 minutes --- 1121 new words added
Pat/2015/08927616 --- 13895.427978432179 minutes --- 157 new words added
Pat/2015/08927617 --- 14077.813444129626 minutes --- 229 new words added
Pat/2015/08927618 --- 14261.365077277025 minutes --- 245 new words added
Pat/2015/08927619 --- 14445.373876790205 minutes --- 94 new words added
Pat/2015/08927620 --- 14629.641203137238 minutes --- 52 new words added
Pat/2015/08927621 --- 14814.921847168605 minutes --- 203 new words added
Pat/2015/08927622 --- 15001.283532520136 minutes --- 212 new words added
