PATENT_NO		TIME TO WRITE		WORDS ADDED BY FILE
Pat/2015/08933548 --- 20.597298649946847 minutes --- 832 new words added
Pat/2015/08933549 --- 41.22412444750468 minutes --- 237 new words added
Pat/2015/08933550 --- 61.86292410294215 minutes --- 158 new words added
Pat/2015/08933551 --- 82.5218219478925 minutes --- 248 new words added
Pat/2015/08933552 --- 103.1988127152125 minutes --- 167 new words added
Pat/2015/08933553 --- 123.89172837734222 minutes --- 123 new words added
Pat/2015/08933554 --- 144.6073608716329 minutes --- 140 new words added
Pat/2015/08933555 --- 165.35124801397325 minutes --- 167 new words added
Pat/2015/08933556 --- 186.14181482394537 minutes --- 243 new words added
Pat/2015/08933557 --- 206.97849125464757 minutes --- 204 new words added
Pat/2015/08933558 --- 227.85532066822051 minutes --- 155 new words added
Pat/2015/08933559 --- 248.78714240392048 minutes --- 133 new words added
Pat/2015/08933560 --- 269.7605863849322 minutes --- 131 new words added
Pat/2015/08933561 --- 290.77983021736145 minutes --- 128 new words added
Pat/2015/08933562 --- 311.85308593908945 minutes --- 144 new words added
Pat/2015/08933563 --- 332.9500823020935 minutes --- 52 new words added
Pat/2015/08933564 --- 354.15098876158396 minutes --- 241 new words added
Pat/2015/08933565 --- 375.38577355146407 minutes --- 66 new words added
Pat/2015/08933566 --- 396.6614519993464 minutes --- 68 new words added
Pat/2015/08933567 --- 418.00917859474816 minutes --- 133 new words added
Pat/2015/08933568 --- 439.3898071924845 minutes --- 51 new words added
Pat/2015/08933569 --- 460.8344937324524 minutes --- 71 new words added
Pat/2015/08933570 --- 482.51535803874333 minutes --- 358 new words added
Pat/2015/08933571 --- 504.3659934163094 minutes --- 229 new words added
Pat/2015/08933572 --- 526.4970972776413 minutes --- 350 new words added
Pat/2015/08933573 --- 548.7892063657442 minutes --- 179 new words added
Pat/2015/08933574 --- 571.2694020430247 minutes --- 198 new words added
Pat/2015/08933575 --- 593.9361272414525 minutes --- 183 new words added
Pat/2015/08933576 --- 616.7383324344953 minutes --- 123 new words added
Pat/2015/08933577 --- 639.6551539699236 minutes --- 98 new words added
Pat/2015/08933578 --- 662.8207023183505 minutes --- 209 new words added
Pat/2015/08933579 --- 686.0444260120391 minutes --- 28 new words added
Pat/2015/08933580 --- 709.3685738484065 minutes --- 73 new words added
Pat/2015/08933581 --- 732.8126706043879 minutes --- 86 new words added
Pat/2015/08933582 --- 756.3821442763011 minutes --- 86 new words added
Pat/2015/08933583 --- 780.0791959007581 minutes --- 83 new words added
Pat/2015/08933584 --- 803.9243777473768 minutes --- 94 new words added
Pat/2015/08933585 --- 828.276824092865 minutes --- 319 new words added
Pat/2015/08933586 --- 852.9398645321528 minutes --- 181 new words added
Pat/2015/08933587 --- 877.7861704508464 minutes --- 101 new words added
Pat/2015/08933588 --- 902.7452679038048 minutes --- 57 new words added
Pat/2015/08933589 --- 927.8689629356066 minutes --- 75 new words added
Pat/2015/08933590 --- 953.1913251042366 minutes --- 99 new words added
Pat/2015/08933591 --- 978.7872235496839 minutes --- 133 new words added
Pat/2015/08933592 --- 1004.5736337423325 minutes --- 88 new words added
Pat/2015/08933593 --- 1030.6968593716622 minutes --- 154 new words added
Pat/2015/08933594 --- 1062.2759907364846 minutes --- 2169 new words added
Pat/2015/08933595 --- 1094.2487298727035 minutes --- 132 new words added
Pat/2015/08933596 --- 1127.0346627434094 minutes --- 266 new words added
Pat/2015/08933597 --- 1159.9225357055664 minutes --- 28 new words added
Pat/2015/08933598 --- 1192.910702796777 minutes --- 27 new words added
Pat/2015/08933599 --- 1226.0468584895134 minutes --- 36 new words added
Pat/2015/08933600 --- 1259.2599506934484 minutes --- 19 new words added
Pat/2015/08933601 --- 1292.7570136348406 minutes --- 79 new words added
Pat/2015/08933602 --- 1326.4116149981817 minutes --- 41 new words added
Pat/2015/08933603 --- 1360.2015945474307 minutes --- 34 new words added
Pat/2015/08933604 --- 1394.2768238822619 minutes --- 75 new words added
Pat/2015/08933605 --- 1428.473685447375 minutes --- 29 new words added
Pat/2015/08933606 --- 1462.764794341723 minutes --- 21 new words added
Pat/2015/08933607 --- 1497.208852704366 minutes --- 36 new words added
Pat/2015/08933608 --- 1531.8630538185437 minutes --- 50 new words added
