PATENT_NO		TIME TO WRITE		WORDS ADDED BY FILE
Pat/2015/08931041 --- 493.64949030478795 minutes --- 913 new words added
Pat/2015/08931042 --- 987.3230291207632 minutes --- 565 new words added
Pat/2015/08931043 --- 1481.0064456820487 minutes --- 581 new words added
Pat/2015/08931044 --- 1974.7057082096735 minutes --- 634 new words added
Pat/2015/08931045 --- 2468.413974849383 minutes --- 271 new words added
Pat/2015/08931046 --- 2962.1312379439673 minutes --- 224 new words added
Pat/2015/08931047 --- 3455.8489940126738 minutes --- 5 new words added
Pat/2015/08931048 --- 3949.5735172231994 minutes --- 133 new words added
Pat/2015/08931049 --- 4443.30813049078 minutes --- 154 new words added
Pat/2015/08931050 --- 4937.051492965222 minutes --- 137 new words added
Pat/2015/08931051 --- 5430.806314106782 minutes --- 161 new words added
Pat/2015/08931052 --- 5924.588340874513 minutes --- 127 new words added
Pat/2015/08931053 --- 6418.418389332294 minutes --- 521 new words added
Pat/2015/08931054 --- 6912.284716308117 minutes --- 348 new words added
Pat/2015/08931055 --- 7406.180226171016 minutes --- 237 new words added
Pat/2015/08931056 --- 7900.112759534518 minutes --- 286 new words added
Pat/2015/08931057 --- 8394.100412944952 minutes --- 373 new words added
Pat/2015/08931058 --- 8888.12593977054 minutes --- 236 new words added
Pat/2015/08931059 --- 9382.168141448497 minutes --- 96 new words added
Pat/2015/08931060 --- 9876.244471855958 minutes --- 181 new words added
Pat/2015/08931061 --- 10370.334332501889 minutes --- 68 new words added
Pat/2015/08931062 --- 10864.458780082066 minutes --- 83 new words added
Pat/2015/08931063 --- 11358.616152509054 minutes --- 149 new words added
Pat/2015/08931064 --- 11852.800252687932 minutes --- 115 new words added
Pat/2015/08931065 --- 12346.998693354924 minutes --- 58 new words added
Pat/2015/08931066 --- 12841.228263064226 minutes --- 119 new words added
Pat/2015/08931067 --- 13335.498260978859 minutes --- 151 new words added
Pat/2015/08931068 --- 13829.786134203276 minutes --- 62 new words added
Pat/2015/08931069 --- 14324.128808104992 minutes --- 187 new words added
Pat/2015/08931070 --- 14818.491695857048 minutes --- 65 new words added
Pat/2015/08931071 --- 15312.882205835978 minutes --- 86 new words added
Pat/2015/08931072 --- 15807.307016197841 minutes --- 50 new words added
Pat/2015/08931073 --- 16301.806661768755 minutes --- 214 new words added
Pat/2015/08931074 --- 16796.328692475956 minutes --- 60 new words added
Pat/2015/08931075 --- 17290.886533268294 minutes --- 94 new words added
Pat/2015/08931076 --- 17785.444923551877 minutes --- 0 new words added
Pat/2015/08931077 --- 18280.03957169453 minutes --- 89 new words added
Pat/2015/08931078 --- 18774.74490647316 minutes --- 262 new words added
Pat/2015/08931079 --- 19269.502675469717 minutes --- 116 new words added
Pat/2015/08931080 --- 19764.311764732996 minutes --- 108 new words added
