PATENT_NO		TIME TO WRITE		WORDS ADDED BY FILE
Pat/2015/08927021 --- 27.255430563290915 minutes --- 783 new words added
Pat/2015/08927022 --- 54.543542591730755 minutes --- 1149 new words added
Pat/2015/08927023 --- 81.85992168585459 minutes --- 1169 new words added
Pat/2015/08927024 --- 109.2542109688123 minutes --- 1838 new words added
Pat/2015/08927025 --- 136.6782998561859 minutes --- 463 new words added
Pat/2015/08927026 --- 164.14361584186554 minutes --- 538 new words added
Pat/2015/08927027 --- 191.64159861008326 minutes --- 350 new words added
Pat/2015/08927028 --- 219.17955958445867 minutes --- 388 new words added
Pat/2015/08927029 --- 246.9920161565145 minutes --- 1886 new words added
Pat/2015/08927030 --- 275.08864654302596 minutes --- 1546 new words added
Pat/2015/08927031 --- 303.32649383544924 minutes --- 666 new words added
Pat/2015/08927032 --- 331.6196321209272 minutes --- 157 new words added
Pat/2015/08927033 --- 360.00459231932956 minutes --- 359 new words added
Pat/2015/08927034 --- 388.4584392031034 minutes --- 252 new words added
Pat/2015/08927035 --- 416.96016377210617 minutes --- 159 new words added
Pat/2015/08927036 --- 445.70306572914126 minutes --- 779 new words added
Pat/2015/08927037 --- 474.51163012186686 minutes --- 181 new words added
Pat/2015/08927038 --- 503.57899335225426 minutes --- 698 new words added
Pat/2015/08927039 --- 532.6938336888949 minutes --- 120 new words added
Pat/2015/08927040 --- 561.9316878755888 minutes --- 300 new words added
Pat/2015/08927041 --- 591.2112871527672 minutes --- 94 new words added
