PATENT_NO		TIME TO WRITE		WORDS ADDED BY FILE
Pat/2015/08933850 --- 17.781842124462127 minutes --- 145 new words added
Pat/2015/08933851 --- 35.58121067682902 minutes --- 80 new words added
Pat/2015/08933852 --- 53.38103439410528 minutes --- 82 new words added
Pat/2015/08933853 --- 71.18189084132513 minutes --- 138 new words added
Pat/2015/08933854 --- 88.98390961885453 minutes --- 139 new words added
Pat/2015/08933855 --- 106.78624673287074 minutes --- 25 new words added
Pat/2015/08933856 --- 124.58919120232264 minutes --- 45 new words added
Pat/2015/08933857 --- 142.39345087607703 minutes --- 97 new words added
Pat/2015/08933858 --- 160.19843930006027 minutes --- 40 new words added
Pat/2015/08933859 --- 178.00400097370147 minutes --- 23 new words added
Pat/2015/08933860 --- 195.8127159833908 minutes --- 164 new words added
Pat/2015/08933861 --- 213.63957351048788 minutes --- 56 new words added
Pat/2015/08933862 --- 231.4783505400022 minutes --- 397 new words added
Pat/2015/08933863 --- 249.31922598282497 minutes --- 58 new words added
Pat/2015/08933864 --- 267.16236017545066 minutes --- 57 new words added
Pat/2015/08933865 --- 285.0077711343765 minutes --- 49 new words added
Pat/2015/08933866 --- 302.8555012702942 minutes --- 47 new words added
Pat/2015/08933867 --- 320.7055695136388 minutes --- 45 new words added
Pat/2015/08933868 --- 338.55714877049127 minutes --- 25 new words added
Pat/2015/08933869 --- 356.4101601004601 minutes --- 22 new words added
Pat/2015/08933870 --- 374.26534934441247 minutes --- 32 new words added
Pat/2015/08933871 --- 392.13987106084824 minutes --- 37 new words added
Pat/2015/08933872 --- 410.0172951340675 minutes --- 42 new words added
Pat/2015/08933873 --- 427.89735602935156 minutes --- 35 new words added
Pat/2015/08933874 --- 445.7810726006826 minutes --- 45 new words added
Pat/2015/08933875 --- 463.6675448934237 minutes --- 31 new words added
Pat/2015/08933876 --- 481.55780512889226 minutes --- 42 new words added
Pat/2015/08933877 --- 499.4523780147235 minutes --- 34 new words added
Pat/2015/08933878 --- 517.3491864085197 minutes --- 22 new words added
Pat/2015/08933879 --- 535.2505466540655 minutes --- 48 new words added
Pat/2015/08933880 --- 553.1544016400973 minutes --- 23 new words added
Pat/2015/08933881 --- 571.0824126164118 minutes --- 63 new words added
Pat/2015/08933882 --- 589.0142845511436 minutes --- 33 new words added
Pat/2015/08933883 --- 606.9484938224157 minutes --- 19 new words added
Pat/2015/08933884 --- 624.8874931097031 minutes --- 40 new words added
Pat/2015/08933885 --- 642.8302880406379 minutes --- 30 new words added
Pat/2015/08933886 --- 660.7767233729362 minutes --- 26 new words added
Pat/2015/08933887 --- 678.7274336854617 minutes --- 32 new words added
Pat/2015/08933888 --- 696.6883861343066 minutes --- 73 new words added
Pat/2015/08933889 --- 714.6562244097391 minutes --- 48 new words added
Pat/2015/08933890 --- 732.627607746919 minutes --- 22 new words added
Pat/2015/08933891 --- 750.6194524963697 minutes --- 19 new words added
Pat/2015/08933892 --- 768.6165775497755 minutes --- 32 new words added
Pat/2015/08933893 --- 786.6171168446541 minutes --- 19 new words added
Pat/2015/08933894 --- 804.6190310359001 minutes --- 6 new words added
Pat/2015/08933895 --- 822.6273707826932 minutes --- 32 new words added
Pat/2015/08933896 --- 840.639213124911 minutes --- 18 new words added
Pat/2015/08933897 --- 858.6534504294395 minutes --- 10 new words added
Pat/2015/08933898 --- 876.6715660492579 minutes --- 19 new words added
Pat/2015/08933899 --- 894.6950676043829 minutes --- 25 new words added
Pat/2015/08933900 --- 912.7218170245488 minutes --- 12 new words added
Pat/2015/08933901 --- 930.7705941994985 minutes --- 21 new words added
Pat/2015/08933902 --- 948.8208032011986 minutes --- 5 new words added
Pat/2015/08933903 --- 966.87503327926 minutes --- 18 new words added
Pat/2015/08933904 --- 984.9649639646212 minutes --- 165 new words added
Pat/2015/08933905 --- 1003.0579587340355 minutes --- 12 new words added
Pat/2015/08933906 --- 1021.1613404154778 minutes --- 45 new words added
Pat/2015/08933907 --- 1039.2723651568094 minutes --- 30 new words added
Pat/2015/08933908 --- 1057.3866844216982 minutes --- 12 new words added
Pat/2015/08933909 --- 1075.508780014515 minutes --- 29 new words added
Pat/2015/08933910 --- 1093.6414756735167 minutes --- 39 new words added
Pat/2015/08933911 --- 1111.7960612138113 minutes --- 15 new words added
Pat/2015/08933912 --- 1129.9594422340392 minutes --- 32 new words added
Pat/2015/08933913 --- 1148.1294393142064 minutes --- 23 new words added
Pat/2015/08933914 --- 1166.3056211034457 minutes --- 19 new words added
Pat/2015/08933915 --- 1184.4889233867327 minutes --- 24 new words added
Pat/2015/08933916 --- 1202.6783862034479 minutes --- 20 new words added
Pat/2015/08933917 --- 1220.8717210412026 minutes --- 11 new words added
Pat/2015/08933918 --- 1239.0777255018552 minutes --- 41 new words added
Pat/2015/08933919 --- 1257.2875857750576 minutes --- 11 new words added
Pat/2015/08933920 --- 1275.5045027414958 minutes --- 21 new words added
Pat/2015/08933921 --- 1293.7436700781186 minutes --- 16 new words added
Pat/2015/08933922 --- 1311.9868931412698 minutes --- 11 new words added
Pat/2015/08933923 --- 1330.2403186122576 minutes --- 28 new words added
Pat/2015/08933924 --- 1348.5008622050286 minutes --- 19 new words added
Pat/2015/08933925 --- 1366.7795739412309 minutes --- 51 new words added
Pat/2015/08933926 --- 1385.0637416005134 minutes --- 14 new words added
Pat/2015/08933927 --- 1403.3586357394854 minutes --- 29 new words added
Pat/2015/08933928 --- 1421.6619591315587 minutes --- 21 new words added
Pat/2015/08933929 --- 1439.9726368745169 minutes --- 17 new words added
Pat/2015/08933930 --- 1458.2918414314588 minutes --- 19 new words added
Pat/2015/08933931 --- 1476.6317303538322 minutes --- 6 new words added
Pat/2015/08933932 --- 1495.0156112670898 minutes --- 113 new words added
Pat/2015/08933933 --- 1513.4142836411795 minutes --- 35 new words added
Pat/2015/08933934 --- 1531.822867445151 minutes --- 22 new words added
Pat/2015/08933935 --- 1550.2445002039274 minutes --- 29 new words added
Pat/2015/08933936 --- 1568.6794669508934 minutes --- 30 new words added
Pat/2015/08933937 --- 1587.1264160553615 minutes --- 26 new words added
Pat/2015/08933938 --- 1605.5833603064218 minutes --- 21 new words added
Pat/2015/08933939 --- 1624.048932047685 minutes --- 18 new words added
Pat/2015/08933940 --- 1642.5220345020293 minutes --- 15 new words added
