PATENT_NO		TIME TO WRITE		WORDS ADDED BY FILE
Pat/2015/08927121 --- 21.920457438627878 minutes --- 1191 new words added
Pat/2015/08927122 --- 43.869675497214 minutes --- 871 new words added
Pat/2015/08927123 --- 65.82616571982702 minutes --- 345 new words added
Pat/2015/08927124 --- 87.7877590139707 minutes --- 164 new words added
Pat/2015/08927125 --- 109.76228374640147 minutes --- 385 new words added
Pat/2015/08927126 --- 131.73963760932287 minutes --- 70 new words added
Pat/2015/08927127 --- 153.7420329173406 minutes --- 514 new words added
Pat/2015/08927128 --- 175.75435603062311 minutes --- 178 new words added
Pat/2015/08927129 --- 197.7714664975802 minutes --- 76 new words added
Pat/2015/08927130 --- 219.8011965473493 minutes --- 182 new words added
Pat/2015/08927131 --- 241.85832610527675 minutes --- 350 new words added
Pat/2015/08927132 --- 263.93930462598803 minutes --- 58 new words added
Pat/2015/08927133 --- 286.02853002548215 minutes --- 86 new words added
Pat/2015/08927134 --- 308.13845933675765 minutes --- 200 new words added
Pat/2015/08927135 --- 330.27802054087323 minutes --- 259 new words added
Pat/2015/08927136 --- 352.4241543014844 minutes --- 51 new words added
Pat/2015/08927137 --- 374.586963224411 minutes --- 125 new words added
Pat/2015/08927138 --- 396.7570692698161 minutes --- 45 new words added
Pat/2015/08927139 --- 418.9320213397344 minutes --- 31 new words added
Pat/2015/08927140 --- 441.11090592543286 minutes --- 22 new words added
Pat/2015/08927141 --- 463.2961366176605 minutes --- 37 new words added
Pat/2015/08927142 --- 485.50896490414937 minutes --- 61 new words added
Pat/2015/08927143 --- 507.7368758598963 minutes --- 83 new words added
Pat/2015/08927144 --- 529.9742421944936 minutes --- 47 new words added
Pat/2015/08927145 --- 552.2426943262418 minutes --- 153 new words added
Pat/2015/08927146 --- 574.5414065798124 minutes --- 143 new words added
Pat/2015/08927147 --- 597.0620248357455 minutes --- 926 new words added
Pat/2015/08927148 --- 619.6271762887637 minutes --- 163 new words added
Pat/2015/08927149 --- 642.2550100803376 minutes --- 214 new words added
Pat/2015/08927150 --- 664.9248856663704 minutes --- 134 new words added
Pat/2015/08927151 --- 687.621418050925 minutes --- 83 new words added
Pat/2015/08927152 --- 710.3800706068674 minutes --- 133 new words added
Pat/2015/08927153 --- 733.1726532101632 minutes --- 97 new words added
Pat/2015/08927154 --- 755.984496541818 minutes --- 52 new words added
Pat/2015/08927155 --- 778.8233625451724 minutes --- 71 new words added
Pat/2015/08927156 --- 801.6723067522049 minutes --- 25 new words added
Pat/2015/08927157 --- 824.5761031826337 minutes --- 137 new words added
Pat/2015/08927158 --- 847.501050444444 minutes --- 50 new words added
Pat/2015/08927159 --- 870.4532929062843 minutes --- 63 new words added
Pat/2015/08927160 --- 893.5201561768849 minutes --- 254 new words added
Pat/2015/08927161 --- 916.6209190289179 minutes --- 70 new words added
Pat/2015/08927162 --- 939.8113252997398 minutes --- 147 new words added
Pat/2015/08927163 --- 963.0338830669721 minutes --- 62 new words added
Pat/2015/08927164 --- 986.2750189781189 minutes --- 34 new words added
Pat/2015/08927165 --- 1009.5508517464002 minutes --- 64 new words added
Pat/2015/08927166 --- 1032.8731780568758 minutes --- 84 new words added
Pat/2015/08927167 --- 1056.223863530159 minutes --- 48 new words added
Pat/2015/08927168 --- 1079.5979646722476 minutes --- 39 new words added
Pat/2015/08927169 --- 1103.0030953447024 minutes --- 51 new words added
Pat/2015/08927170 --- 1126.445308125019 minutes --- 60 new words added
Pat/2015/08927171 --- 1149.9470113197963 minutes --- 94 new words added
Pat/2015/08927172 --- 1173.4942540804545 minutes --- 43 new words added
Pat/2015/08927173 --- 1197.091193719705 minutes --- 75 new words added
Pat/2015/08927174 --- 1220.7095631202062 minutes --- 31 new words added
Pat/2015/08927175 --- 1244.376802456379 minutes --- 70 new words added
Pat/2015/08927176 --- 1268.1290332635244 minutes --- 120 new words added
Pat/2015/08927177 --- 1291.909255830447 minutes --- 37 new words added
Pat/2015/08927178 --- 1315.901907936732 minutes --- 285 new words added
Pat/2015/08927179 --- 1339.9723771969477 minutes --- 100 new words added
Pat/2015/08927180 --- 1364.079049094518 minutes --- 45 new words added
Pat/2015/08927181 --- 1388.2347712159158 minutes --- 60 new words added
Pat/2015/08927182 --- 1412.723478639126 minutes --- 377 new words added
Pat/2015/08927183 --- 1437.5346514701844 minutes --- 365 new words added
Pat/2015/08927184 --- 1462.5151833415032 minutes --- 184 new words added
Pat/2015/08927185 --- 1487.7863179802894 minutes --- 304 new words added
Pat/2015/08927186 --- 1513.4471276243528 minutes --- 390 new words added
Pat/2015/08927187 --- 1539.3955700119336 minutes --- 275 new words added
Pat/2015/08927188 --- 1565.6149070183435 minutes --- 251 new words added
Pat/2015/08927189 --- 1591.942494992415 minutes --- 97 new words added
Pat/2015/08927190 --- 1618.4287259022394 minutes --- 139 new words added
Pat/2015/08927191 --- 1645.1693317572276 minutes --- 218 new words added
Pat/2015/08927192 --- 1671.9703110257785 minutes --- 35 new words added
Pat/2015/08927193 --- 1699.0896670937539 minutes --- 260 new words added
Pat/2015/08927194 --- 1726.436410888036 minutes --- 179 new words added
Pat/2015/08927195 --- 1754.3899121522904 minutes --- 467 new words added
Pat/2015/08927196 --- 1782.6565074165662 minutes --- 231 new words added
Pat/2015/08927197 --- 1811.282265651226 minutes --- 257 new words added
Pat/2015/08927198 --- 1840.0199304779371 minutes --- 78 new words added
Pat/2015/08927199 --- 1868.7994860331216 minutes --- 28 new words added
Pat/2015/08927200 --- 1897.8280449151994 minutes --- 168 new words added
Pat/2015/08927201 --- 1927.2455218275388 minutes --- 254 new words added
Pat/2015/08927202 --- 1958.096931640307 minutes --- 888 new words added
Pat/2015/08927203 --- 1989.7497410535811 minutes --- 474 new words added
Pat/2015/08927204 --- 2022.607493253549 minutes --- 681 new words added
Pat/2015/08927205 --- 2056.990477867921 minutes --- 813 new words added
Pat/2015/08927206 --- 2093.7909063776333 minutes --- 1196 new words added
Pat/2015/08927207 --- 2131.4334427634876 minutes --- 399 new words added
Pat/2015/08927208 --- 2169.8879673957827 minutes --- 371 new words added
Pat/2015/08927209 --- 2208.8248816291493 minutes --- 215 new words added
Pat/2015/08927210 --- 2248.7099626938502 minutes --- 400 new words added
Pat/2015/08927211 --- 2289.222172184785 minutes --- 264 new words added
Pat/2015/08927212 --- 2330.3310234586397 minutes --- 240 new words added
Pat/2015/08927213 --- 2372.127969225248 minutes --- 278 new words added
